case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,suggested_fix
CASE-01,Access Port in Wrong VLAN,PC-A in Sales cannot communicate with Sales Server on Switch-1 (192.168.10.50). PC gets static IP 192.168.10.10/24.,PC-A connected to Switch-1 Fa0/1. Sales Server connected to Switch-1 Fa0/2. Sales VLAN is VLAN 10.,"Switch-1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/3, Fa0/4, Fa0/5...
10   Sales                            active    Fa0/2
20   Marketing                        active    Fa0/1
Switch-1# show interfaces FastEthernet0/1 switchport
Name: Fa0/1
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 20 (Marketing)",Interface FastEthernet0/1 is assigned to VLAN 20 (Marketing) instead of VLAN 10 (Sales),Layer 2 - Data Link,VLAN,High,"Switch-1(config)# interface FastEthernet0/1
Switch-1(config-if)# switchport access vlan 10
Switch-1(config-if)# end"
CASE-02,Missing VLAN in Switch Database,PC-1 in VLAN 30 cannot reach gateway or other VLAN 30 hosts across Switch-2.,Switch-1 connected via Trunk (Gi0/1) to Switch-2. PC-1 connected to Switch-2 Fa0/5 in VLAN 30 (Engineering).,"Switch-2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    
20   Marketing                        active    
Switch-2# show interfaces FastEthernet0/5 switchport
Access Mode VLAN: 30 (Inactive)",VLAN 30 is not created in Switch-2 VLAN database causing port Fa0/5 to become inactive,Layer 2 - Data Link,VLAN,Critical,"Switch-2(config)# vlan 30
Switch-2(config-vlan)# name Engineering
Switch-2(config-vlan)# exit"
CASE-03,802.1Q Native VLAN Mismatch on Trunk,Intermittent connectivity between switches and CDP duplex/native VLAN mismatch syslog alerts logged every 60s.,Switch-A (Gi0/1) connected to Switch-B (Gi0/1) via 802.1Q trunk cable.,"Switch-A# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      10
Switch-B# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (1), with Switch-A GigabitEthernet0/1 (10).",Native VLAN mismatch across trunk: Switch-A is configured with Native VLAN 10 while Switch-B is using Native VLAN 1,Layer 2 - Data Link,VLAN,Medium,"Switch-B(config)# interface GigabitEthernet0/1
Switch-B(config-if)# switchport trunk native vlan 10
Switch-B(config-if)# end"
CASE-04,Trunk Allowed VLAN List Restricting Traffic,PC in VLAN 20 on Switch-2 cannot ping the Default Gateway (Router sub-interface) on Switch-1.,Switch-1 Gi0/1 (Trunk) connects to Switch-2 Gi0/1 (Trunk). Router on a Stick connected to Switch-1.,"Switch-1# show interfaces trunk
Port        Mode             Encapsulation  Status        Native vlan
Gi0/1       on               802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/1       10,30,40
Switch-2# show interfaces trunk
Port        Vlans allowed on trunk
Gi0/1       1-4094",Trunk port Gi0/1 on Switch-1 is filtering out VLAN 20 from its allowed VLAN list,Layer 2 - Data Link,VLAN,High,"Switch-1(config)# interface GigabitEthernet0/1
Switch-1(config-if)# switchport trunk allowed vlan add 20
Switch-1(config-if)# end"
CASE-05,Host Configured with Wrong Default Gateway,Host PC-3 (192.168.1.50/24) can ping local LAN hosts but cannot reach Internet server 8.8.8.8.,Local LAN 192.168.1.0/24. Router LAN interface is 192.168.1.1/24.,"PC-3> ipconfig
IP Address......................: 192.168.1.50
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.1.254
Router-1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         192.168.1.1     YES manual up                    up      
GigabitEthernet0/1         203.0.113.2     YES manual up                    up",PC-3 has its Default Gateway configured as 192.168.1.254 instead of Router-1 IP 192.168.1.1,Layer 3 - Network,GATEWAY,High,PC-3> ipconfig 192.168.1.50 255.255.255.0 192.168.1.1
CASE-06,Subnet Mask Mismatch Between Host and Router,PC-B can ping some local hosts but cannot ping Router-1 gateway 10.0.10.1.,LAN network is 10.0.10.0/24 (255.255.255.0). Router Gi0/0 is 10.0.10.1/24.,"PC-B> ipconfig
IP Address......................: 10.0.10.75
Subnet Mask.....................: 255.255.255.128
Default Gateway.................: 10.0.10.1
Router-1# show ip interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 10.0.10.1/24",PC-B subnet mask is set to 255.255.255.128 (/25) splitting the subnet and creating asymmetric reachability,Layer 3 - Network,GATEWAY,Medium,PC-B> ipconfig 10.0.10.75 255.255.255.0 10.0.10.1
CASE-07,Router-on-a-Stick Sub-interface Shutdown,VLAN 20 hosts can reach their gateway 192.168.20.1 but VLAN 10 hosts cannot reach 192.168.10.1.,Router-1 connects to Switch-1 via 802.1Q sub-interfaces G0/0.10 and G0/0.20.,"Router-1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  up                    up      
GigabitEthernet0/0.10      192.168.10.1    YES manual administratively down down    
GigabitEthernet0/0.20      192.168.20.1    YES manual up                    up",Sub-interface GigabitEthernet0/0.10 is administratively shutdown on the router,Layer 1 - Physical,GATEWAY,Critical,"Router-1(config)# interface GigabitEthernet0/0.10
Router-1(config-subif)# no shutdown
Router-1(config-subif)# end"
CASE-08,Duplicate IP Address on Local Segment,PC-1 experiences intermittent connectivity and receives 'IP Address Conflict Detected' warning.,Subnet 192.168.1.0/24 with static servers and dynamic PCs.,"Switch-1# show mac address-table dynamic
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
1       0001.9654.1111    DYNAMIC     Fa0/1
1       0001.9654.2222    DYNAMIC     Fa0/2
Router-1# show ip arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.1.20            0   0001.9654.1111  ARPA   GigabitEthernet0/0
Internet  192.168.1.20            0   0001.9654.2222  ARPA   GigabitEthernet0/0",Duplicate IP address 192.168.1.20 is assigned to both PC-1 on Fa0/1 and a static network printer on Fa0/2,Layer 3 - Network,GATEWAY,High,PC-1> ipconfig 192.168.1.25 255.255.255.0 192.168.1.1
CASE-09,Missing IP Helper-Address for DHCP Relay,Clients in VLAN 10 (192.168.10.0/24) fail to obtain IP address and get APIPA 169.254.x.x.,Central DHCP Server is located in Server Farm VLAN 50 (192.168.50.10). Router-1 is the gateway for VLAN 10.,"PC-1> ipconfig /renew
DHCP client request failed.
IP Address: 169.254.34.12
Router-1# show run interface GigabitEthernet0/0.10
Building configuration...
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
end",Router sub-interface Gi0/0.10 is missing the 'ip helper-address 192.168.50.10' command to forward DHCP broadcasts,Layer 3 - Network,DHCP,High,"Router-1(config)# interface GigabitEthernet0/0.10
Router-1(config-subif)# ip helper-address 192.168.50.10
Router-1(config-subif)# end"
CASE-10,DHCP Pool Excluded Address Overlap,DHCP server assigns default gateway IP 192.168.1.1 to a client PC causing network collapse.,Router-1 acts as local DHCP Server for 192.168.1.0/24.,"Router-1# show run | section ip dhcp
ip dhcp pool LAN-POOL
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
 dns-server 8.8.8.8
Router-1# show ip dhcp binding
IP address       Client-ID/Hardware address   Lease expiration        Type
192.168.1.1      0100.0c29.a45b.cd            Aug 10 2026 09:00 AM    Automatic",Router DHCP pool configuration is missing 'ip dhcp excluded-address 192.168.1.1' so the gateway IP was leased,Layer 7 - Application,DHCP,Critical,"Router-1(config)# ip dhcp excluded-address 192.168.1.1 192.168.1.10
Router-1(config)# clear ip dhcp binding 192.168.1.1"
